id;first_name;last_name;email;phone_number;subscribed_at;license_status
1;Lenny;Langworth;Frances81@hotmail.com;Drives;2022-06-18T07:23:52;EXPIRED
2;Mina;Satterfield;Grayce81@yahoo.com;fuchsia Robust Group;2022-06-18T01:51:56;VALID
3;Cielo;Walter;Kirsten_Harris@yahoo.com;Zloty hacking;2022-06-18T06:53:55;VALID
4;Regan;Hilpert;Brenda_Parker54@hotmail.com;scale payment;2022-06-18T21:23:07;VALID
5;Tracey;Schowalter;Davion80@hotmail.com;content;2022-06-18T10:52:14;EXPIRED
6;Karine;Will;Philip_Goyette@hotmail.com;static;2022-06-18T09:02:13;VALID
7;Garrick;Schmidt;Sandrine.Hauck@yahoo.com;Drive;2022-06-18T05:22:28;VALID
8;Oliver;Beer;Marcelo59@gmail.com;Mouse database;2022-06-18T05:01:27;EXPIRED
9;Marisol;Mueller;Anabel.Schroeder@gmail.com;purple holistic;2022-06-18T22:04:17;VALID
10;Delphine;Carroll;Nora_Yundt35@hotmail.com;function architecture;2022-06-18T21:28:47;EXPIRED
